Title,DOI,Country,Qualitative data methods,How the clinical trial Used Qualitative Data?,Barriers to the use of qualitative data,Raw qualitative data shared?,Where is the data shared?
Why would you want to stand? an account of the lived experience of employees taking part in a workplace sit-stand desk intervention,10.1186/s12889-019-8038-9,UK,"participant observations, qualitative interviews, thematic analysis","Yes; qualitative data was used to explore employees' lived experiences and perceptions of sit-stand desk use, identifying themes related to usability, health, productivity, and cultural norms through interviews and observations alongside a pilot RCT.",Not mentioned,No,Not applicable
Exploring patients' experiences of analgesia after major lower limb amputation: a qualitative study,10.1136/bmjopen-2021-054618,UK,"Semi-structured interviews, framework analysis","Yes; qualitative data was used to explore patient experiences, understanding, and perceptions of analgesia following major lower limb amputation through semi-structured interviews conducted at two time points, providing in-depth insights complementary to quantitative trial data.","Generalisability limited due to sample characteristics (patients with peripheral vascular disease), some participants had poor understanding or recall of the intervention; other barriers not explicitly mentioned.",No,Not applicable
"Examining diffusion to understand the how of SASA!, a violence against women and HIV prevention intervention in Uganda",10.1186/s12889-018-5508-4,Uganda,"in-depth interviews, framework analysis",Yes; qualitative data was used through in-depth interviews and framework analysis to explore intervention attributes facilitating engagement and uptake of new ideas and behaviours in intimate relationships.,Not mentioned,No,Not applicable
A realist process evaluation within the Facilitating Implementation of Research Evidence (FIRE) cluster randomised controlled international trial: an exemplar,10.1186/s13012-018-0831-9and10.1186/s13012-018-0812-z,Multiple European countries (4 countries),"Observation, semi-structured interviews, facilitator activity logs, realist theory-informed data analysis","Yes; qualitative data was used to conduct a realist process evaluation embedded within the RCT, including observation and interviews to understand how facilitation interventions were implemented, what worked, for whom, and in what contexts.",Not mentioned,No,Not applicable
Exploring the use of a gamified intervention for encouraging physical activity in adolescents: a qualitative longitudinal study in Northern Ireland,10.1136/bmjopen-2017-019663,Northern Ireland,"Focus groups, Thematic analysis","Yes; qualitative data was used to explore adolescents' views and experiences of a gamified physical activity intervention over time through repeated focus groups and thematic analysis, providing insights into behaviour change mechanisms and intervention acceptability.","Small sample size (only three focus groups), potential researcher bias although mitigated by multiple researchers, and limited generalisability due to single-sex schools.",No,Not applicable
Qualitative exploration of women's experiences of intramuscular pethidine or remifentanil patient-controlled analgesia for labour pain,10.1136/bmjopen-2019-032203,UK,"semistructured interviews, thematic analysis",Yes; qualitative data was used to explore women's experiences of pain relief during labour and infant feeding behaviours through semistructured telephone interviews and thematic analysis of transcripts.,Not mentioned,No,Not applicable
"I know this is on my chest, let's act: a qualitative study exploring self-management of acute COPD exacerbations with a sputum colour chart to reduce unnecessary antibiotic use",10.1038/s41533-024-00398-3,UK,"interviews, thematic analysis, Framework analysis",Yes; qualitative data was used to explore the acceptability of the sputum colour chart and self-management plans among patients and healthcare professionals through interviews and thematic analysis.,Small sample size due to COVID-19 pandemic affecting recruitment and funding; Not explicitly mentioned other barriers such as cost or ethics.,No,Not applicable
A balancing act: parents' longitudinal perspectives of weight-related discussions with their children following obesity treatment,10.1186/s12889-024-19195-1,Sweden,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore parents' perceptions and experiences of weight-related discussions with their children several years after obesity treatment, through interviews analyzed thematically to identify key themes and subthemes.","Barriers mentioned include reluctance to discuss child's weight, language barriers, lack of time, and sensitivity of the topic; no explicit mention of methodological barriers like small sample size or cost.",No,Not applicable
Qualitative process evaluation of a psychoeducational intervention targeted at people diagnosed with schizophrenia and their primary caregivers in Jordan,10.1186/s12888-017-1225-2,Jordan,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to conduct a process evaluation through semi-structured interviews to explore participants' experiences and the mechanisms underpinning the psychoeducational intervention's effects.,Not mentioned,No,Not applicable
'It's because I like things… it's a status and he buys me airtime': exploring the role of transactional sex in young women's consumption patterns in rural South Africa (secondary findings from HPTN 068),10.1186/s12978-018-0539-y,South Africa,"focus groups, in-depth interviews","Yes; qualitative data was used to explore young women's motivations for acquiring consumption items and perceptions of transactional sex through five focus group discussions and 19 in-depth interviews, complementing quantitative findings.",Not mentioned,No,Not applicable
Challenges of a simplified opt-out consent process in a neonatal randomised controlled trial: qualitative study of parents' and health professionals' views and experiences,10.1136/archdischild-2020-319545,England,"semistructured interviews, inductive thematic analysis",Yes; qualitative data was used to explore views and experiences of parents and health professionals regarding the acceptability and feasibility of a simplified opt-out consent process in a neonatal trial through interviews and thematic analysis.,Not mentioned,No,Not applicable
Pelvic floor muscle training for female urinary incontinence: development of a programme theory from a longitudinal qualitative case study,10.1186/s12905-024-03308-4,UK,"semi-structured interviews, longitudinal qualitative case study, case study analytic traditions","Yes; qualitative data was used through longitudinal semi-structured interviews to explore women's experiences of PFMT over time, developing a Programme Theory linking self-efficacy, adherence, context, and UI outcomes.",Not mentioned,No,Not applicable
Paramedic attitudes and experiences of enrolling patients into the PARAMEDIC-2 adrenaline trial: a qualitative survey within the London Ambulance Service,10.1136/bmjopen-2018-025588,UK,"questionnaire with open-ended questions, grounded theory",Yes; qualitative data was used to explore paramedics' attitudes and experiences through open-ended survey questions analyzed using grounded theory to identify themes and categories.,"Responder bias, recall bias, limited sample representing only trained paramedics, voluntary participation possibly influencing responses",No,Not applicable
Interrogating intervention delivery and participants' emotional states to improve engagement and implementation: A realist informed multiple case study evaluation of Engager,10.1371/journal.pone.0270691,UK,"Realist-informed multiple case studies, semi-structured interviews, activity logs, case study analysis","Yes; qualitative data was used to explore how prison-leavers engaged with the intervention, examining delivery, participant responses, and underlying causal mechanisms through multiple case studies and interviews.","Ethical concerns regarding confidentiality, risk of participant identification, data size and complexity, potential inconsistencies or errors in redacted data, and internal confidentiality fears.",No,Not applicable
"Men's reactions to receiving objective feedback on their weight, BMI and other health risk indicators",10.1186/s12889-018-5179-1,UK,"semi-structured interviews, thematic analysis, framework analysis","Yes; qualitative data was used to explore men's reactions to receiving objective health feedback prior to a weight management programme, investigating emotional responses, motivation, and perceived impact on behaviour change.",Not mentioned,No,Not applicable
In-depth qualitative interviews identified barriers and facilitators that influenced chief investigators' use of core outcome sets in randomised controlled trials,10.1016/j.jclinepi.2021.12.004,UK,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore barriers and facilitators to the uptake of core outcome sets (COS) in randomized controlled trials by interviewing chief investigators and analyzing their experiences thematically.,Not mentioned,No,Not applicable
Implementing self-management: a mixed methods study of women's experiences of a postpartum hypertension intervention (SNAP-HT),10.1186/s13063-020-04394-z,UK,"semi-structured interviews, thematic analysis, framework approach",Yes; qualitative data was used to explore women's experiences and perceptions of postpartum hypertension self-management through semi-structured interviews analyzed thematically to identify key themes influencing implementation and acceptability.,Not mentioned,No,Not applicable
What influenced people with chronic or refractory breathlessness and advanced disease to take part and remain in a drug trial? A qualitative study,10.1186/s13063-020-4129-2,UK,"qualitative interviews, thematic analysis","Yes; qualitative data was used to explore factors influencing participants' decisions to take part and remain in the trial through interviews analyzed thematically, focusing on person-centred care aspects and trial processes.",Not mentioned,No,Not applicable
General practitioners' perspectives regarding early developmental surveillance for autism within the australian primary healthcare setting: a qualitative study,10.1186/s12875-023-02121-6,Australia,"semi-structured interviews, thematic inductive analysis, grounded theory","Yes; qualitative data was used to explore and compare GPs' perspectives and experiences regarding a digital developmental surveillance program for autism, through interviews and thematic analysis to identify themes related to enablers, barriers, and feasibility of the program.","Practical and socioeconomic barriers identified; limited (text cuts off, but no explicit mention of other barriers such as cost, subjectivity, or ethics)",No,Not applicable
"Knowledge, practices and perceptions of communities during a malaria larviciding randomized trial in the city of Yaounde ´, Cameroon",10.1371/journal.pone.0276500,Cameroon,"Interviews, focus groups",Yes; qualitative data were used to investigate community perceptions and practices regarding malaria control during the larviciding trial through 26 in-depth interviews and eight focus group discussions.,Not mentioned,No,Not applicable
Group cognitive-behavioural programme to reduce the impact of rheumatoid arthritis fatigue: the RAFT RCT with economic and qualitative evaluations,10.3310/hta23570,UK,"interviews, focus group discussion",Yes; qualitative data were used to capture tutors' experiences of delivering the RAFT programme through individual interviews and a focus group discussion to explore clinical implementation and views on the programme.,Not mentioned,No,Not applicable
Randomised clinical trial research within Aboriginal and Torres Strait Islander primary health services: a qualitative study,10.1136/bmjopen-2021-050839,Australia,"semistructured interviews, thematic analysis, constructivist grounded theory, meeting records","Yes; qualitative data was used to understand how to undertake ethical, valuable, and sustainable RCT research within Aboriginal and Torres Strait Islander primary health services by analyzing interviews and meeting records with stakeholders to generate themes on research value, ethics, and sustainability.",Not mentioned,No,Not applicable
How group singing facilitates recovery from the symptoms of postnatal depression: a comparative qualitative study,10.1186/s40359-018-0253-0,UK,"semi-structured focus groups, thematic analysis","Yes; qualitative data was used to explore mothers' subjective experiences of group singing and creative play interventions through focus groups, analyzed inductively to identify themes explaining mechanisms of recovery from postnatal depression.",Not mentioned,No,Not applicable
'Nesting networks' Women's experiences of social network support in high-risk pregnancy,10.1016/j.midw.2023.103622,UK,"Semi-structured interviews, social network mapping, constant comparison (grounded theory)","Yes; qualitative data was used to explore women's social support networks through interviews and social network mapping, providing insights into emotional, informational, and practical support during high-risk pregnancy.",Not mentioned,No,Not applicable
Parents' understanding and motivation to take part in a randomized controlled trial in the field of adolescent mental health: a qualitative study,10.1186/s13063-020-04857-3,UK,"semi-structured interviews, framework analysis","Yes; qualitative data was used to explore parents' motivations, understanding, and perspectives on the acceptability of participating in the clinical trial through interviews and thematic framework analysis.",Not mentioned,No,Not applicable
One size does not fit all: Participants' experiences of the selfBACK app to support self-management of low back pain-a qualitative interview study,10.1186/s12998-022-00452-2,"Norway, Denmark","qualitative interviews, thematic analysis, framework approach","Yes; qualitative interviews were conducted with participants of the RCT to explore their experiences, acceptability, and factors influencing engagement with the selfBACK app, using thematic framework analysis to understand implementation and user perspectives.",Not mentioned,No,Not applicable
Acceptability of a Parental Early Warning Tool for Parents of Infants with Complex Congenital Heart Disease: A Qualitative Feasibility Study,10.1017/S1047951116001062,UK,"Semi-structured interviews, Thematic analysis","Yes; qualitative data was used through semi-structured interviews conducted at multiple timepoints with parents to explore acceptability and feasibility of the CHAT tool, with data thematically analysed to identify key themes.",Not mentioned,No,Not applicable
What works best when implementing a physical activity intervention for teenagers? Reflections from the ACTIVE Project: a qualitative study,10.1136/bmjopen-2018-025618,Wales,"semistructured focus groups, thematic analysis",Yes; qualitative data was used to explore strengths and weaknesses of the intervention from the perspectives of teenagers and the local council through focus groups and thematic analysis.,Not mentioned,No,Not applicable
Perceptions on use of home telemonitoring in patients with long term conditionsconcordance with the Health Information Technology Acceptance Model: a qualitative collective case study,10.1186/s12911-017-0486-5,UK,"qualitative interviews, Framework Analysis, collective case study",Yes; qualitative interviews were conducted with patients in the intervention arm of the clinical trial at two time points to explore acceptance of health information technology and to test the Health Information Technology Acceptance Model (HITAM). Framework Analysis was used to analyze the data.,Not mentioned,No,Not applicable
Should I stay or should I go? A qualitative study exploring participation in a urology clinical trial,10.1007/s00192-018-3784-2,UK,"telephone interviews, thematic analysis","Yes; qualitative data was used to explore factors influencing patient participation and retention in the clinical trial through interviews with patients and clinicians, analyzed thematically to inform recruitment and retention strategies.",Not mentioned,No,Not applicable
Dentists' perspectives on selective caries removal for the management of deep carious lesions in permanent teeth,10.1186/s12903-025-05699-8,UK,"semi-structured interviews, reflexive thematic analysis",Yes; qualitative data was used to explore dentists' views and experiences regarding selective caries removal through interviews analyzed with the Theoretical Domains Framework and thematic analysis to identify themes influencing clinical practice.,"Challenges of subjectivity in clinical judgement, potential lack of strong evidence affecting adoption; specific barriers to qualitative data use not explicitly mentioned, so general barriers like subjectivity and interpretation challenges implied.",No,Not applicable
Community engagement for birth preparedness and complication readiness in the Community Level Interventions for Pre-eclampsia (CLIP) Trial in India: a mixed-method evaluation,10.1136/bmjopen-2021-060593,India,"Thematic analysis, community feedback notes, group sessions",Yes; qualitative data was used to thematically analyse community feedback notes and assess community engagement processes and perspectives alongside quantitative data in a mixed-methods approach.,"Limited timeframe for evaluation, complexity of multi-component intervention, lack of individual-level data, and difficulty in assessing community-level behavioral change.",No,Not applicable
Valuing breastfeeding: a qualitative study of women's experiences of a financial incentive scheme for breastfeeding,10.1186/s12884-017-1651-7,UK,"Semi-structured interviews, Framework Analysis","Yes; qualitative data was used to explore women's experiences and perceptions of the financial incentive scheme to support interpretation of the trial results, identifying influences on infant feeding decisions and acceptability of the scheme.",Not mentioned,No,Not applicable
"What influences communication about retention in randomised trials: a multi-trial, theory-based analysis exploring trial staff perspectives",10.1186/s12874-022-01708-4,UK,"interviews, thematic analysis","Yes; qualitative interviews were conducted with trial staff to explore their perceptions and experiences regarding participant retention and communication about retention, analyzed using the Theoretical Domains Framework (TDF) to identify barriers and facilitators.",Not mentioned,No,Not applicable
Probiotics and Synbiotics Administered to Young Infants: Perceptions and Acceptability Amongst Carers and Healthcare Workers in Western Kenya,10.3390/nu17030495,Kenya,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore perceptions and acceptability of pro/synbiotic administration among mothers/carers, Peer Mothers, and healthcare workers through interviews analyzed thematically.","Barriers included working mothers' commitments, adverse community opinions, and lack of engagement from fathers.",No,Not applicable
Lay perspectives of the open-label placebo rationale: a qualitative study of participants in an experimental trial,10.1136/bmjopen-2021-053346,Germany,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore participants' concepts, attitudes, and experiences regarding the open-label placebo effect through semi-structured interviews analyzed thematically.",Small sample size limiting generalisability; not explicitly mentioned but implied by sample of young university students.,No,Not applicable
The role of healthcare professionals' communication in trial participation decisions: a qualitative investigation of recruitment consultations and patient interviews across three RCTs,10.1186/s13063-024-08656-y,UK,"audio-recordings of recruitment consultations, semi-structured interviews, thematic analysis, constant comparison approach",Yes; qualitative data was used to explore how patients interpret and use information communicated by healthcare professionals during recruitment consultations and how this influences their decisions to participate in RCTs.,Not mentioned,No,Not applicable
"A qualitative evaluation of a simplified cardiovascular management program in Tibet, China",10.1186/s12992-018-0342-0,China,"face-to-face individual interviews, thematic analysis","Yes; qualitative data was used to examine stakeholder feedback on the intervention's usefulness, fidelity, and scalability through interviews coded with thematic analysis.","Lack of knowledge among participants, insufficient healthcare providers, inadequate financial incentives, incomplete infrastructure (transportation, cell phone signal)",No,Not applicable
Enhancing the quality of psychological interventions delivered by telephone in mental health services: increasing the likelihood of successful implementation using a theory of change,10.1186/s12888-023-04829-2,UK,"semi-structured interviews, focus group, thematic analysis (CFIR framework)","Yes; qualitative data was used to evaluate the feasibility of the intervention through interviews and a focus group with stakeholders, informing modifications to the Theory of Change and intervention design to improve implementation success.",Not mentioned,No,Not applicable
Occupational advice to help people return to work following lower limb arthroplasty: the OPAL intervention mapping study,10.3310/hta24450,UK,"Interviews, Thematic analysis",Yes; qualitative data was used through interviews to gather stakeholder perspectives and inform the development and feasibility assessment of the occupational advice intervention.,Not mentioned,Yes,Not explicitly stated but likely within the report or supplementary materials
Qualitative study of the BREATHER trial (Short Cycle antiretroviral therapy): is it acceptable to young people living with HIV?,10.1136/bmjopen-2016-012934,"UK, Ireland, USA, Uganda","interviews, focus groups, thematic analysis, grounded theory","Yes; qualitative data was used to explore young people's experiences, adaptation, acceptability, and attitudes towards Short Cycle Therapy (SCT) through longitudinal interviews and focus groups to inform intervention development and understand adherence challenges.","Small sample size, potential research fatigue, narrow population (only those consenting to trial and qualitative study), and possible influence of trial participation on adherence (increased support and monitoring)",No,Not applicable
Explaining the mixed findings of a randomised controlled trial of telehealth with centralised remote support for heart failure: multi-site qualitative study using the NASSS framework,10.1186/s13063-020-04817-x,UK,"interviews, observation, document analysis, thematic analysis (informed by NASSS framework)","Yes; qualitative data was used to explain why the telehealth intervention was implemented and adopted differently across multiple sites by interviewing patients, carers, clinicians, and researchers, and observing their experiences and interactions.",Not mentioned,No,Not applicable
Patient understanding and acceptability of an early lung cancer diagnosis trial: a qualitative study,10.1186/s13063-018-2803-4,UK,"Qualitative interviews, framework analysis","Yes; qualitative interviews were conducted to explore patient understanding, acceptability, and barriers to participation in the lung cancer diagnosis trial, informing trial design and recruitment strategies.",Not mentioned,No,Not applicable
SSHeW study protocol: does slip resistant footwear reduce slips among healthcare workers? A randomised controlled trial,10.1136/bmjopen-2018-026023,UK,"Interviews, thematic analysis",Yes; a nested qualitative study was conducted to explore the acceptability of the footwear and compliance among NHS staff.,Not mentioned,No,Not applicable
"The impacts of combined social and economic empowerment training on intimate partner violence, depression, gender norms and livelihoods among women: an individually randomised controlled trial and qualitative study in Afghanistan",10.1136/bmjgh-2019-001946,Afghanistan,"interviews, thematic analysis","Yes; qualitative data was used in an endline qualitative evaluation to explore participant experiences and contextual factors related to the intervention's impact on IPV, mental health, gender attitudes, and livelihoods.",Not mentioned,No,Not applicable
Influences on physical activity and screen time amongst postpartum women with heightened depressive symptoms: a qualitative study,10.1186/s12884-021-03847-w,Australia,"semi-structured interviews, thematic analysis, phenomenological approach",Yes; qualitative data was used to explore postpartum women's perceptions of influences on physical activity and screen time through semi-structured interviews and thematic analysis to identify key themes.,Not mentioned,No,Not applicable
"Stigma experienced by people living with HIV who are on methadone maintenance treatment and have symptoms of common mental disorders in Hanoi, Vietnam: a qualitative study",10.1186/s12981-022-00491-y,Vietnam,"semi-structured in-depth interviews, focus group discussions, thematic analysis","Yes; qualitative data was used to explore different types of stigma (social, internalized, professional) experienced by people living with HIV on methadone maintenance treatment with common mental disorders through interviews and focus groups, analyzed thematically to identify stigma sources and impacts.",Not mentioned,No,Not applicable
Qualitative process study to explore the perceived burdens and benefits of a digital intervention for self-managing high blood pressure in Primary Care in the UK,10.1136/bmjopen-2017-020843,UK,"semistructured telephone interviews, inductive thematic analysis, grounded theory",Yes; qualitative data was used to explore patients' perceived burdens and benefits of using a digital self-management intervention through interviews and thematic analysis nested within a randomized controlled trial.,"Small sample size, difficulty recruiting low users of the intervention which may limit generalisability, asymptomatic nature of hypertension affecting generalisability",No,Not applicable
"Exploring Older Adult's Experiences of a Home-Based, Technology-Driven Balance Training Exercise Program Designed to Reduce Fall Risk: A Qualitative Research Study Within a Randomized Controlled Trial",10.1519/JPT.0000000000000321,Australia,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore older adults' experiences and challenges with the technology-driven fall prevention program through one-on-one structured interviews and thematic analysis to identify key themes.,Not mentioned,No,Not applicable
Acceptability and feasibility of online delivery of chair-based yoga for older adults with multimorbidity -lessons from a process evaluation of the gentle years yoga trial,10.1186/s12906-025-04838-6,UK,"semi-structured interviews, thematic analysis, online observations","Yes; qualitative data was used to explore participant and yoga teacher experiences and acceptability of the online delivery of the yoga intervention through interviews and observations, analyzed thematically.","Digital literacy barriers, reduced communication and engagement inherent to online delivery, and potential technology issues were noted as challenges.",No,Not applicable
What are the positive drivers and potential barriers to implementation of hospital at home selected by low-risk DECAF score in the UK: a qualitative study embedded within a randomised controlled trial,10.1136/bmjopen-2018-026609,UK,"semistructured interviews, thematic-construct analysis","Yes; qualitative data was used to identify facilitators and barriers to implementation of hospital at home (HAH) by conducting semistructured interviews with patients, carers, clinicians, and managers, and analyzing transcripts to inform service planning and overcome barriers.","Risk of social desirability bias, potential observer bias, and limited generalisability to other countries; no other specific barriers mentioned",No,Not applicable
How to embed qualitative research in trials: insights from the feasibility study of the SAFER trial programme,10.1186/s13063-022-06308-7,England,"Interviews, focus groups, ethnographic observations","Yes; qualitative data was used to inform trial design, conduct, and day-to-day running, including decisions on trial documentation, delivery, timing and content of measures, and participant communication. It also explored feasibility, acceptability, implementation, and mechanisms of impact of the intervention.",Not mentioned,No,Not applicable
Qualitative study of challenges with recruitment of hospitals into a cluster controlled trial of clinical decision support in Australia,10.1136/bmjopen-2023-080610,Australia,"Semistructured interviews, inductive thematic content analysis",Yes; qualitative data was used to explore barriers and facilitators to hospital participation in controlled cluster trials of clinical decision support through interviews with senior hospital staff and thematic analysis of transcripts.,Not mentioned,No,Not applicable
"Adopted children's co-production and use of ""trove"" (a digitally enhanced memory box) to better understand their care histories through precious objects",10.1177/1359104518776359,England,"Co-design engagement with children, small trial with 10 children (implied qualitative engagement)",Yes; qualitative data was used through co-design activities with children and reporting on their engagement and experiences with the 'trove' prototype to understand their care histories and narrative identity.,"Small sample size (trial with 10 children), potential challenges in interpretation due to trauma and narrative complexity, not explicitly detailed but implied",No,Not applicable
Implementing peer support into practice in mental health services: a qualitative comparative case study,10.1186/s12913-024-11447-5,England,"interviews, qualitative comparative case study, thematic analysis (implied through framework use)","Yes; qualitative data from interviews with peer workers and supervisors were used to compare sites with different levels of engagement and fidelity, exploring implementation factors affecting peer support delivery.","Barriers mentioned include constrained resources, challenging relationships between peer workers and ward staff, geography and capacity limiting supervision and team-building; no explicit mention of barriers specific to qualitative data use such as interpretation or ethics.",No,Not applicable
Experiences with long acting injectable ART: A qualitative study among PLHIV participating in a Phase II study of cabotegravir + rilpivirine (LATTE-2) in the United States and Spain,10.1371/journal.pone.0190487,United States; Spain,"In-depth interviews, thematic content analysis",Yes; qualitative data was used to explore participant and provider attitudes and experiences with long-acting versus oral ART through interviews and thematic analysis.,Not mentioned,No,Not applicable
Qualitative study of the acceptability and feasibility of acceptance and commitment therapy for adolescents with chronic fatigue syndrome,10.1136/bmjpo-2021-001139,UK,"semi-structured interviews, focus group, thematic analysis","Yes; qualitative data was used to explore acceptability and feasibility of ACT through interviews and focus groups with adolescents, parents, and healthcare professionals, analyzed thematically to identify patterns and themes related to treatment acceptability and trial feasibility.",Reluctance to randomisation as a barrier to recruitment; concerns about misunderstanding 'acceptance' in ACT; no other specific barriers to qualitative data use mentioned.,No,Not applicable
Providers' perspectives of barriers and facilitators to scale-up of mental health care in the public health delivery system of Mozambique: a qualitative inquiry,10.1186/s12913-024-11594-9,Mozambique,"freelisting, focus groups, thematic analysis","Yes; qualitative data was used to identify barriers and facilitators to implementation of mental health services through rapid ethnographic assessment, freelisting, focus groups, and thematic analysis to inform scale-up strategies.",Not mentioned,No,Not applicable
Factors that influence women's enrolment and ongoing participation in a partially decentralised randomised controlled dermatology trial: a qualitative interview study with participants in the SAFA (Spironolactone for Adult Female Acne) trial,10.1186/s13063-023-07630-4,UK,"semi-structured interviews, reflexive thematic analysis","Yes; qualitative data was used to explore participants' experiences and perspectives of taking part in the SAFA trial, focusing on recruitment, decentralised trial methods, and ongoing participation through interviews analyzed thematically.",Not mentioned,No,Not applicable
Implementing a Medicines at Transitions Intervention (MaTI) for patients with heart failure: a process evaluation of the Improving the Safety and Continuity Of Medicines management at Transitions of care (ISCOMAT) cluster randomised controlled trial,10.1186/s12913-024-11487-x,UK,"interviews, structured and unstructured ward observations, thematic analysis (Framework method)","Yes; qualitative data were used to explore staff experiences delivering the intervention, identify barriers and facilitators to implementation, and understand ward culture through interviews and observations analyzed thematically.",Not mentioned,No,Not applicable
SCI peer health coach influence on self-management with peers: a qualitative analysis,10.1038/sc.2017.104,USA,"Directed content analysis, interviews",Yes; qualitative data was used through directed content analysis of 504 tele-coaching calls and post-intervention interviews to explore peer health coach roles and communication strategies in a clinical trial.,Not mentioned,No,Not applicable
How are progression decisions made following external randomised pilot trials? A qualitative interview study and framework analysis,10.1186/s13063-022-06063-9,UK,"semi-structured interviews, framework method, thematic analysis",Yes; qualitative data was used to explore and understand the perspectives and experiences of key stakeholders involved in progression decisions following external randomised pilot trials through interviews and thematic analysis.,Not mentioned,No,Not applicable
Patient's Experiences of a Cognitive Behaviour Therapy Informed Crisis Intervention for Psychosis Delivered in Inpatient Settings: A Qualitative Exploration,10.1002/cpp.3033,UK,"semistructured interviews, thematic analysis",Yes; qualitative data was used to examine patients' experiences and acceptability of a CBTp-informed intervention through semistructured interviews analyzed by thematic analysis.,"Challenges included therapy interruptions, chaotic ward environment, distressing psychosis experiences; small sample size implied but not explicitly stated as a barrier.",No,Not applicable
